event_id,event_time,ccy_couple,rate
288230383844089590,1708466370036,AUDEUR,1.08079
288230383844089594,1708466370038,AUDEUR,0.61642
288230383844089598,1708466370039,AUDEUR,0.6549
288230383844089602,1708466370039,AUDEUR,0.85619
288230383844089608,1708466370040,AUDEUR,1.2623
288230383844089658,1708466370136,AUDEUR,1.08078
288230383844089664,1708466370139,AUDEUR,0.6549
288230383844089668,1708466370139,AUDEUR,0.85619
288230383844089674,1708466370140,AUDEUR,1.2623
288230383844089716,1708466370236,AUDEUR,1.08079
288230383844089728,1708466370239,AUDEUR,0.6549
288230383844089730,1708466370239,AUDEUR,0.8562
288230383844089734,1708466370240,AUDEUR,1.2623
288230383844089774,1708466370336,AUDEUR,1.08078
288230383844089780,1708466370339,AUDEUR,0.85619
288230383844089786,1708466370340,AUDEUR,1.2623
288230383844089806,1708466370347,AUDEUR,0.6549
288230383844089826,1708466370439,AUDEUR,0.85619
288230383844089832,1708466370440,AUDEUR,1.2623
288230383844089590,1708466370036,AUDUSD,1.08079
288230383844089594,1708466370038,AUDUSD,0.61642
288230383844089598,1708466370039,AUDUSD,0.6549
288230383844089602,1708466370039,AUDUSD,0.85619
288230383844089608,1708466370040,AUDUSD,1.2623
288230383844089658,1708466370136,AUDUSD,1.08078
288230383844089664,1708466370139,AUDUSD,0.6549
288230383844089668,1708466370139,AUDUSD,0.85619
288230383844089674,1708466370140,AUDUSD,1.2623
288230383844089716,1708466370236,AUDUSD,1.08079
288230383844089728,1708466370239,AUDUSD,0.6549
288230383844089730,1708466370239,AUDUSD,0.8562
288230383844089734,1708466370240,AUDUSD,1.2623
288230383844089774,1708466370336,AUDUSD,1.08078
288230383844089780,1708466370339,AUDUSD,0.85619
288230383844089786,1708466370340,AUDUSD,1.2623
288230383844089806,1708466370347,AUDUSD,0.6549
288230383844089826,1708466370439,AUDUSD,0.85619
288230383844089832,1708466370440,AUDUSD,1.2623
288230383844089590,1708466370036,AUDAFN,1.08079
288230383844089594,1708466370038,AUDAFN,0.61642
288230383844089598,1708466370039,AUDAFN,0.6549
288230383844089602,1708466370039,AUDAFN,0.85619
288230383844089608,1708466370040,AUDAFN,1.2623
